Station,Station_No,Jan_O,Jan_I,Feb_O,Feb_I,Mar_O,Mar_I,Apr_O,Apr_I,May_O,May_I,Jun_O,Jun_I,Jul_O,Jul_I,Aug_O,Aug_I,Sep_O,Sep_I,Oct_O,Oct_I,Sum_O,Sum_I,Avg_O,Avg_I
永春,BL18,18555,18328,16354,16215,19604,19376,19011,18861,11042,10899,4930,4844,6399,6325,10163,10014,12931,12840,14954,14805,133943,132507,13394,13251
後山埤,BL19,15172,15178,14015,14124,15550,15631,15484,15521,8868,8905,3971,4094,5430,5543,8463,8581,10024,10067,12068,12062,109045,109706,10905,10971
昆陽,BL20,12765,12274,11419,11148,13554,13044,12964,12520,7992,7653,3944,3771,5324,5149,7871,7632,9129,8831,10596,10265,95558,92287,9556,9229
南港,BL21,17923,17623,16740,16393,19421,19040,19659,19031,10496,10337,3690,3618,5390,5199,9769,9462,12549,12100,15446,14926,131083,127729,13108,12773
動物園,BR01,5670,5663,7453,7266,6373,6328,6914,6865,2542,2584,510,559,756,831,2078,2134,2571,2591,3828,3786,38695,38607,3870,3861
木柵,BR02,3954,3848,3477,3435,4417,4301,4510,4396,2480,2380,932,883,1264,1188,2018,1928,3053,2950,3481,3338,29586,28647,2959,2865
萬芳社區,BR03,1896,2343,1787,2234,2076,2564,1992,2484,1135,1416,508,617,715,873,1124,1389,1339,1669,1544,1915,14116,17504,1412,1750
萬芳醫院,BR04,11583,10897,10004,9502,13072,12277,12487,11852,7184,6711,2913,2666,4032,3703,6341,5820,8064,7502,10296,9669,85976,80599,8598,8060
辛亥,BR05,2836,3066,2564,2799,3109,3342,3009,3216,1750,1857,748,786,1065,1120,1719,1828,2060,2170,2425,2567,21285,22751,2129,2275
麟光,BR06,3802,4064,3601,3873,4235,4549,4162,4475,2203,2391,985,1061,1366,1461,2193,2330,2627,2782,3127,3327,28301,30313,2830,3031
六張犁,BR07,10305,10472,9086,9284,10913,11130,10447,10692,5915,6014,2506,2521,3513,3534,5674,5714,6836,6913,8137,8203,73332,74477,7333,7448
科技大樓,BR08,12585,12959,10635,11033,13923,14290,12939,13336,7157,7354,2712,2773,3812,3905,6372,6553,7817,8005,10019,10279,87971,90487,8797,9049
大安,BR09,21982,21752,18499,17947,24107,23964,23117,22921,12724,12638,4605,4513,6628,6528,10749,10528,15235,15511,17427,17628,155073,153930,15507,15393
忠孝復興,BR10,40900,41057,40097,40044,41310,41482,41966,41914,21763,21639,9027,8954,12918,12911,21865,22026,25247,25497,31406,31795,286499,287319,28650,28732
南京復興,BR11,36270,34068,31666,29567,38698,36371,36552,34262,20859,19697,9014,8657,12558,12083,20144,19217,23301,22130,27400,25948,256462,242000,25646,24200
中山國中,BR12,12541,12635,11057,11199,13342,13470,12790,12966,7196,7239,2949,3012,4206,4279,6933,6986,8266,8276,9775,9806,89055,89868,8906,8987
松山機場,BR13,3347,3330,3185,3187,3775,3731,4213,4155,2351,2408,796,810,1074,1106,1855,1864,2255,2259,2721,2729,25572,25579,2557,2558
大直,BR14,8069,8041,6690,6655,9416,9365,8949,8857,4840,4767,1565,1501,2148,2064,3730,3587,4879,4873,6991,6934,57277,56644,5728,5664
劍南路,BR15,10716,10721,9960,9925,10879,10919,10757,10778,5648,5614,2061,1997,2895,2820,5569,5472,6656,6550,8619,8584,73760,73380,7376,7338
西湖,BR16,13789,13407,11794,11535,15685,15198,14291,13856,8326,8023,3042,2914,4704,4529,8328,8217,9548,9441,11400,11267,100907,98387,10091,9839
港墘,BR17,13724,13994,11533,11789,15380,15731,14579,14968,8232,8393,3058,3013,4606,4569,7897,8013,10386,10852,11714,12194,101109,103516,10111,10352
文德,BR18,4911,5046,4156,4285,5385,5569,5270,5505,2832,2944,934,951,1357,1377,2364,2388,3732,3906,4282,4463,35223,36434,3522,3643
內湖,BR19,8954,9126,8642,8890,9483,9595,9209,9371,5024,5081,2034,2063,2864,2907,4721,4727,5980,5916,7168,7140,64079,64816,6408,6482
大湖公園,BR20,3365,3466,3762,3794,3652,3751,3725,3836,1789,1873,602,633,891,937,1619,1665,2187,2227,2606,2660,24198,24842,2420,2484
葫洲,BR21,7263,7228,6383,6603,8194,8119,7833,7807,4451,4346,1633,1567,2276,2213,3829,3737,5003,4791,6417,6314,53282,52725,5328,5273
東湖,BR22,7648,7518,7972,7656,8290,8116,7960,7843,4539,4454,1703,1681,2422,2364,3957,3875,5486,5375,6463,6264,56440,55146,5644,5515
南港軟體園區,BR23,5038,5332,4309,4527,5168,5503,4870,5123,2822,2950,938,988,1489,1563,2867,3062,3549,3728,3965,4140,35015,36916,3502,3692
南港展覽館,BR24,24169,25725,20710,22441,26787,28575,25483,27250,15268,16223,6097,6420,8615,9064,13896,14752,16413,17350,19761,20926,177199,188726,17720,18873
新店,G01,11004,12519,10987,12422,11875,13446,13280,14804,6625,7554,2548,2962,3635,4178,6094,6877,7749,8658,9114,10208,82911,93628,8291,9363
新店區公所,G02,11564,10952,10630,10213,12378,11749,12219,11623,7066,6637,3046,2856,4232,4004,6896,6531,8148,7623,9817,9264,85996,81452,8600,8145
七張,G03,15225,15229,13858,14050,16147,16251,15443,15636,8739,8699,3626,3566,5170,5088,8319,8175,9984,9893,12012,11971,108523,108558,10852,10856
小碧潭,G03A,3522,3427,3551,3432,3470,3364,3608,3491,1785,1709,656,616,1029,981,2005,1931,2404,2359,3056,2997,25086,24307,2509,2431
大坪林,G04,21114,21739,18667,19199,22345,23070,21596,22305,12140,12429,5030,5108,7260,7349,11816,12038,14403,14911,17221,17800,151592,155948,15159,15595
景美,G05,15610,15491,13926,13876,16901,16733,16387,16262,9067,8992,3603,3580,5007,4986,8103,8041,9980,9970,13445,13387,112029,111318,11203,11132
萬隆,G06,9385,9718,8557,8960,9764,10107,9544,9920,5493,5698,2419,2517,3393,3529,5374,5572,6346,6546,7687,7951,67962,70518,6796,7052
公館,G07,25328,25955,23090,23647,28590,29380,26234,26819,13211,13601,4169,4331,6148,6386,11234,11482,13991,14267,19630,20142,171625,176010,17163,17601
台電大樓,G08,16269,16413,14372,14518,17233,17296,16346,16443,8960,9034,3601,3649,5066,5119,8160,8182,9942,9995,12211,12319,112160,112968,11216,11297
古亭,G09,30009,30194,25999,26217,31800,31938,30235,30453,16792,16898,6796,6849,9395,9495,15444,15590,18727,18827,23049,23135,208246,209596,20825,20960
中正紀念堂,G10,21994,22404,20181,20156,23401,23791,22842,23306,12301,12491,4837,4823,6561,6583,11068,11118,14026,14530,17931,18387,155142,157589,15514,15759
